execution_run_id,depth,budget,method_a,method_b,metric,n_graphs,difference,mean_difference,ci_low,ci_high,smaller_is_better,interval
study-cc25ae93d418f22101d4,1,32768,uniform_iso,gw_iso,success_fraction,24,a_minus_b,0.0,0.0,0.0,False,unadjusted 95 percent paired graph percentile bootstrap
study-cc25ae93d418f22101d4,1,32768,uniform_iso,gw_iso,capped_target_shots,24,a_minus_b,0.0,0.0,0.0,True,unadjusted 95 percent paired graph percentile bootstrap
study-cc25ae93d418f22101d4,1,32768,uniform_iso,gw_iso,optimization_shots,24,a_minus_b,49.77777777777768,-28.444444444444496,128.00000000000014,True,unadjusted 95 percent paired graph percentile bootstrap
study-cc25ae93d418f22101d4,1,32768,uniform_iso,gw_iso,optimization_calls,24,a_minus_b,0.777777777777778,-0.44444444444444403,2.000000000000001,True,unadjusted 95 percent paired graph percentile bootstrap
study-cc25ae93d418f22101d4,1,32768,uniform_iso,gw_iso,optimization_jobs,24,a_minus_b,0.2916666666666667,-0.16666666666666666,0.75,True,unadjusted 95 percent paired graph percentile bootstrap
study-cc25ae93d418f22101d4,1,32768,uniform_iso,gw_shape,objective,24,a_minus_b,0.0018637736486721336,-0.00043150428991773357,0.004145998136692511,True,unadjusted 95 percent paired graph percentile bootstrap
study-cc25ae93d418f22101d4,1,32768,uniform_iso,gw_shape,expected_ratio,24,a_minus_b,-0.002782691127990756,-0.005787637778771991,0.00016609592083371606,False,unadjusted 95 percent paired graph percentile bootstrap
study-cc25ae93d418f22101d4,1,32768,uniform_iso,gw_shape,signed_reference_gap,24,a_minus_b,0.0018637736486721383,-0.0004315042899177195,0.0041459981366925155,True,unadjusted 95 percent paired graph percentile bootstrap
study-cc25ae93d418f22101d4,1,32768,uniform_iso,gw_shape,success_fraction,24,a_minus_b,0.0,0.0,0.0,False,unadjusted 95 percent paired graph percentile bootstrap
study-cc25ae93d418f22101d4,1,32768,uniform_iso,gw_shape,capped_target_shots,24,a_minus_b,0.0,0.0,0.0,True,unadjusted 95 percent paired graph percentile bootstrap
study-cc25ae93d418f22101d4,1,32768,uniform_iso,gw_shape,optimization_shots,24,a_minus_b,92.4444444444445,14.222222222222323,184.88888888888883,True,unadjusted 95 percent paired graph percentile bootstrap
study-cc25ae93d418f22101d4,1,32768,uniform_iso,gw_shape,optimization_calls,24,a_minus_b,1.4444444444444444,0.22222222222222174,2.888888888888889,True,unadjusted 95 percent paired graph percentile bootstrap
study-cc25ae93d418f22101d4,1,32768,uniform_iso,gw_shape,optimization_jobs,24,a_minus_b,0.5416666666666666,0.08333333333333333,1.0833333333333333,True,unadjusted 95 percent paired graph percentile bootstrap
study-cc25ae93d418f22101d4,1,32768,uniform_iso,local_iso,objective,24,a_minus_b,0.0008122390101975482,0.00028428148973742574,0.0014886531106587531,True,unadjusted 95 percent paired graph percentile bootstrap
study-cc25ae93d418f22101d4,1,32768,uniform_iso,local_iso,expected_ratio,24,a_minus_b,-0.0010692092739280623,-0.0019754909293327135,-0.00036349721039528567,False,unadjusted 95 percent paired graph percentile bootstrap
study-cc25ae93d418f22101d4,1,32768,uniform_iso,local_iso,signed_reference_gap,24,a_minus_b,0.0008122390101975482,0.00028428148973742547,0.0014886531106587531,True,unadjusted 95 percent paired graph percentile bootstrap
study-cc25ae93d418f22101d4,1,32768,uniform_iso,local_iso,success_fraction,24,a_minus_b,0.0,0.0,0.0,False,unadjusted 95 percent paired graph percentile bootstrap
study-cc25ae93d418f22101d4,1,32768,uniform_iso,local_iso,capped_target_shots,24,a_minus_b,0.0,0.0,0.0,True,unadjusted 95 percent paired graph percentile bootstrap
study-cc25ae93d418f22101d4,1,32768,uniform_iso,local_iso,optimization_shots,24,a_minus_b,-21.333333333333183,-85.33333333333319,28.444444444444798,True,unadjusted 95 percent paired graph percentile bootstrap
study-cc25ae93d418f22101d4,1,32768,uniform_iso,local_iso,optimization_calls,24,a_minus_b,-0.33333333333333365,-1.3333333333333333,0.44444444444444403,True,unadjusted 95 percent paired graph percentile bootstrap
study-cc25ae93d418f22101d4,1,32768,uniform_iso,local_iso,optimization_jobs,24,a_minus_b,-0.125,-0.5,0.16666666666666666,True,unadjusted 95 percent paired graph percentile bootstrap
study-cc25ae93d418f22101d4,1,32768,uniform_iso,shuffled_gw,objective,24,a_minus_b,-0.004072720532734876,-0.016711738927595886,0.003036670191672126,True,unadjusted 95 percent paired graph percentile bootstrap
study-cc25ae93d418f22101d4,1,32768,uniform_iso,shuffled_gw,expected_ratio,24,a_minus_b,0.004378414408192889,-0.004205825522432457,0.01943545928429361,False,unadjusted 95 percent paired graph percentile bootstrap
study-cc25ae93d418f22101d4,1,32768,uniform_iso,shuffled_gw,signed_reference_gap,24,a_minus_b,-0.004072720532734872,-0.01671173892759588,0.0030366701916721304,True,unadjusted 95 percent paired graph percentile bootstrap
study-cc25ae93d418f22101d4,1,32768,uniform_iso,shuffled_gw,success_fraction,24,a_minus_b,0.041666666666666664,0.0,0.125,False,unadjusted 95 percent paired graph percentile bootstrap
