execution_run_id,depth,budget,method,n_graphs,n_runs,resampling_unit,objective_mean,objective_ci_low,objective_ci_high,expected_ratio_mean,expected_ratio_ci_low,expected_ratio_ci_high,signed_reference_gap_mean,signed_reference_gap_ci_low,signed_reference_gap_ci_high,success_fraction_mean,success_fraction_ci_low,success_fraction_ci_high,capped_target_shots_mean,capped_target_shots_ci_low,capped_target_shots_ci_high,optimization_shots_mean,optimization_shots_ci_low,optimization_shots_ci_high,optimization_calls_mean,optimization_calls_ci_low,optimization_calls_ci_high,optimization_jobs_mean,optimization_jobs_ci_low,optimization_jobs_ci_high,validation_shots_mean,validation_shots_ci_low,validation_shots_ci_high,validation_calls_mean,validation_calls_ci_low,validation_calls_ci_high,validation_jobs_mean,validation_jobs_ci_low,validation_jobs_ci_high,total_shots_mean,total_shots_ci_low,total_shots_ci_high,total_calls_mean,total_calls_ci_low,total_calls_ci_high,total_jobs_mean,total_jobs_ci_low,total_jobs_ci_high,optimization_seconds_mean,optimization_seconds_ci_low,optimization_seconds_ci_high
study-cc25ae93d418f22101d4,1,32768,bad_prior,24,72,graph mean over shot repetitions,-0.5464463149786076,-0.5745521206444713,-0.5206119896397065,0.6799446195346929,0.6480434869632762,0.7132293962011766,0.09458708862018513,0.06734641108555002,0.12165516852536118,0.3333333333333333,0.16666666666666666,0.5416666666666666,23466.666666666668,17653.333333333332,28117.333333333332,31914.666666666668,31829.333333333332,32021.333333333332,32.666666666666664,31.333333333333332,34.333333333333336,14.0,13.5,14.625,16384.0,16384.0,16384.0,1.0,1.0,1.0,1.0,1.0,1.0,48298.666666666664,48213.333333333336,48405.333333333336,33.666666666666664,32.333333333333336,35.333333333333336,15.0,14.5,15.625,0.008041625583271322,0.006797755585043004,0.009308082609970509
study-cc25ae93d418f22101d4,1,32768,cobyla,24,72,graph mean over shot repetitions,-0.639464529551216,-0.6500005932398957,-0.6286390838426629,0.7958464641567767,0.7804227843249297,0.8115388621788411,0.0015688740475766627,0.0011528705764071673,0.0020187522819585494,1.0,1.0,1.0,0.0,0.0,0.0,16640.0,16170.666666666666,17152.0,16.25,15.791666666666666,16.75,16.25,15.791666666666666,16.75,16384.0,16384.0,16384.0,1.0,1.0,1.0,1.0,1.0,1.0,33024.0,32554.666666666668,33536.0,17.25,16.791666666666668,17.75,17.25,16.791666666666668,17.75,0.010213640013969577,0.009342117556283192,0.011301093377130339
study-cc25ae93d418f22101d4,1,32768,descriptor_iso,24,72,graph mean over shot repetitions,-0.6401627581211212,-0.6509128277957774,-0.628934895390453,0.7966614481105839,0.7813012968574496,0.8123268181124712,0.0008706454776714981,0.0003324330183883687,0.0015643921027967418,1.0,1.0,1.0,0.0,0.0,0.0,31900.44444444445,31815.111111111113,31985.77777777778,32.44444444444445,31.11111111111111,33.77777777777778,13.916666666666666,13.416666666666666,14.416666666666666,16384.0,16384.0,16384.0,1.0,1.0,1.0,1.0,1.0,1.0,48284.44444444444,48199.1111111111,48369.77777777778,33.44444444444445,32.11111111111111,34.77777777777778,14.916666666666666,14.416666666666666,15.416666666666666,0.008055159180584168,0.006792318253081615,0.009341202017341111
study-cc25ae93d418f22101d4,1,32768,descriptor_shape,24,72,graph mean over shot repetitions,-0.6401627581211212,-0.6509128277957774,-0.628934895390453,0.7966614481105839,0.7813012968574496,0.8123268181124712,0.0008706454776714981,0.0003324330183883687,0.0015643921027967418,1.0,1.0,1.0,0.0,0.0,0.0,31879.11111111111,31800.888888888887,31964.44444444444,32.111111111111114,30.88888888888889,33.44444444444445,13.791666666666666,13.333333333333334,14.291666666666666,16384.0,16384.0,16384.0,1.0,1.0,1.0,1.0,1.0,1.0,48263.11111111112,48184.8888888889,48348.444444444445,33.111111111111114,31.88888888888889,34.44444444444445,14.791666666666666,14.333333333333334,15.291666666666666,0.007982191513924085,0.00674627026362518,0.009248452085818018
study-cc25ae93d418f22101d4,1,32768,fixed_radius,24,72,graph mean over shot repetitions,-0.6401627581211212,-0.6509128277957774,-0.628934895390453,0.7966614481105839,0.7813012968574496,0.8123268181124712,0.0008706454776714981,0.0003324330183883687,0.0015643921027967418,1.0,1.0,1.0,0.0,0.0,0.0,32476.44444444444,32291.55555555556,32632.88888888889,59.583333333333336,55.0,64.83333333333333,24.777777777777775,23.097222222222218,26.708333333333332,16384.0,16384.0,16384.0,1.0,1.0,1.0,1.0,1.0,1.0,48860.444444444445,48675.55555555556,49016.8888888889,60.583333333333336,56.0,65.83333333333333,25.777777777777775,24.097222222222218,27.708333333333332,0.014896834555631561,0.01250854626226846,0.01739253031502825
study-cc25ae93d418f22101d4,1,32768,fixed_shots,24,72,graph mean over shot repetitions,-0.6401627581211212,-0.6509128277957774,-0.628934895390453,0.7966614481105839,0.7813012968574496,0.8123268181124712,0.0008706454776714981,0.0003324330183883687,0.0015643921027967418,1.0,1.0,1.0,0.0,0.0,0.0,768.0,768.0,768.0,3.0,3.0,3.0,1.0,1.0,1.0,16384.0,16384.0,16384.0,1.0,1.0,1.0,1.0,1.0,1.0,17152.0,17152.0,17152.0,4.0,4.0,4.0,2.0,2.0,2.0,0.0008639362916558942,0.0007461696906305961,0.0009806771152682358
study-cc25ae93d418f22101d4,1,32768,gw_iso,24,72,graph mean over shot repetitions,-0.6380974066378468,-0.6485069925794632,-0.6271644789145628,0.7941867093504967,0.7785717632362948,0.8104099369817547,0.002935996960945842,0.001565543008782023,0.004505029577035701,1.0,1.0,1.0,0.0,0.0,0.0,31808.0,31765.333333333332,31857.777777777777,31.0,30.333333333333332,31.777777777777775,13.375,13.125,13.666666666666666,16384.0,16384.0,16384.0,1.0,1.0,1.0,1.0,1.0,1.0,48192.0,48149.333333333336,48241.777777777774,32.0,31.333333333333332,32.77777777777777,14.375,14.125,14.666666666666666,0.007669784666682568,0.006490609395854739,0.00882520866491158
study-cc25ae93d418f22101d4,1,32768,gw_shape,24,72,graph mean over shot repetitions,-0.6380974066378468,-0.6485069925794632,-0.6271644789145628,0.7941867093504967,0.7785717632362948,0.8104099369817547,0.002935996960945842,0.001565543008782023,0.004505029577035701,1.0,1.0,1.0,0.0,0.0,0.0,31765.333333333332,31744.0,31800.888888888887,30.333333333333332,30.0,30.88888888888889,13.125,13.0,13.333333333333334,16384.0,16384.0,16384.0,1.0,1.0,1.0,1.0,1.0,1.0,48149.333333333336,48128.0,48184.8888888889,31.333333333333332,31.0,31.88888888888889,14.125,14.0,14.333333333333334,0.007496084499962308,0.006336700815623747,0.00865427131070583
study-cc25ae93d418f22101d4,1,32768,local_iso,24,72,graph mean over shot repetitions,-0.6370458719993723,-0.649149812832893,-0.6242615247285122,0.792473227496434,0.7778491267492542,0.8073637249371961,0.0039875315994204324,0.001957012340054568,0.0063788718474868875,1.0,1.0,1.0,0.0,0.0,0.0,31879.111111111113,31800.88888888889,31957.333333333332,32.111111111111114,30.88888888888889,33.333333333333336,13.791666666666666,13.333333333333334,14.25,16384.0,16384.0,16384.0,1.0,1.0,1.0,1.0,1.0,1.0,48263.1111111111,48184.8888888889,48341.333333333336,33.111111111111114,31.88888888888889,34.333333333333336,14.791666666666666,14.333333333333334,15.25,0.007961175944552047,0.0067465068817038325,0.009187460151222617
study-cc25ae93d418f22101d4,1,32768,no_repair,24,72,graph mean over shot repetitions,-0.6401627581211212,-0.6509128277957774,-0.628934895390453,0.7966614481105839,0.7813012968574496,0.8123268181124712,0.0008706454776714981,0.0003324330183883687,0.0015643921027967418,1.0,1.0,1.0,0.0,0.0,0.0,31815.11111111111,31765.155555555553,31879.11111111111,31.111111111111114,30.330555555555556,32.111111111111114,13.416666666666666,13.123958333333334,13.791666666666666,16384.0,16384.0,16384.0,1.0,1.0,1.0,1.0,1.0,1.0,48199.11111111112,48149.15555555556,48263.1111111111,32.111111111111114,31.330555555555556,33.111111111111114,14.416666666666666,14.123958333333334,14.791666666666666,0.007570973902779264,0.006342459533695117,0.008816590038480855
